"food_id"	"fdgrp_id"	"desc"	"food_group"	"nutrient_id"	"nutrient_value"	"units"	"nutrient"	"seq"	"amount"	"measure_desc"	"grams"	"nutrients_per_gram"	"nutrients_per_serving"
"1"	"1199"	"100"	"CREAM,HALF & HALF,FAT FREE"	"Dairy and Egg Products"	"203"	2.6	"g"	"Protein"	1	2	"tbsp"	29	0.026	0.754
"2"	"1199"	"100"	"CREAM,HALF & HALF,FAT FREE"	"Dairy and Egg Products"	"203"	2.6	"g"	"Protein"	2	1	"pint"	484	0.026	12.584
"3"	"1199"	"100"	"CREAM,HALF & HALF,FAT FREE"	"Dairy and Egg Products"	"204"	1.4	"g"	"Total lipid (fat)"	1	2	"tbsp"	29	0.014	0.406
"4"	"1199"	"100"	"CREAM,HALF & HALF,FAT FREE"	"Dairy and Egg Products"	"204"	1.4	"g"	"Total lipid (fat)"	2	1	"pint"	484	0.014	6.776
"5"	"1199"	"100"	"CREAM,HALF & HALF,FAT FREE"	"Dairy and Egg Products"	"205"	9	"g"	"Carbohydrate, by difference"	1	2	"tbsp"	29	0.09	2.61
"6"	"1199"	"100"	"CREAM,HALF & HALF,FAT FREE"	"Dairy and Egg Products"	"205"	9	"g"	"Carbohydrate, by difference"	2	1	"pint"	484	0.09	43.56
"7"	"1210"	"100"	"EGG MIX,USDA CMDTY"	"Dairy and Egg Products"	"203"	35.6	"g"	"Protein"	1	1	"tbsp"	8.6	0.356	3.0616
"8"	"1210"	"100"	"EGG MIX,USDA CMDTY"	"Dairy and Egg Products"	"203"	35.6	"g"	"Protein"	2	1	"cup"	105	0.356	37.38
"9"	"1210"	"100"	"EGG MIX,USDA CMDTY"	"Dairy and Egg Products"	"204"	34.5	"g"	"Total lipid (fat)"	1	1	"tbsp"	8.6	0.345	2.967
"10"	"1210"	"100"	"EGG MIX,USDA CMDTY"	"Dairy and Egg Products"	"204"	34.5	"g"	"Total lipid (fat)"	2	1	"cup"	105	0.345	36.225
"11"	"1224"	"100"	"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR"	"Dairy and Egg Products"	"203"	50	"g"	"Protein"	1	2	"scoop"	50	0.5	25
"12"	"1224"	"100"	"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR"	"Dairy and Egg Products"	"204"	12	"g"	"Total lipid (fat)"	1	2	"scoop"	50	0.12	6
"13"	"1225"	"100"	"DULCE DE LECHE"	"Dairy and Egg Products"	"203"	6.84	"g"	"Protein"	1	1	"tbsp"	19	0.0684	1.2996
"14"	"1225"	"100"	"DULCE DE LECHE"	"Dairy and Egg Products"	"204"	7.35	"g"	"Total lipid (fat)"	1	1	"tbsp"	19	0.0735	1.3965
"15"	"1239"	"100"	"ICE CRM COOKIE SNDWCH"	"Dairy and Egg Products"	"203"	3.7	"g"	"Protein"	1	1	"serving"	82	0.037	3.034
"16"	"1239"	"100"	"ICE CRM COOKIE SNDWCH"	"Dairy and Egg Products"	"204"	7.4	"g"	"Total lipid (fat)"	1	1	"serving"	82	0.074	6.068
"17"	"1239"	"100"	"ICE CRM COOKIE SNDWCH"	"Dairy and Egg Products"	"205"	39.6	"g"	"Carbohydrate, by difference"	1	1	"serving"	82	0.396	32.472
"18"	"1240"	"100"	"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC"	"Dairy and Egg Products"	"203"	5.21	"g"	"Protein"	1	1	"unit"	96	0.0521	5.0016
"19"	"1240"	"100"	"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC"	"Dairy and Egg Products"	"204"	21.88	"g"	"Total lipid (fat)"	1	1	"unit"	96	0.2188	21.0048
"20"	"1240"	"100"	"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC"	"Dairy and Egg Products"	"205"	34.38	"g"	"Carbohydrate, by difference"	1	1	"unit"	96	0.3438	33.0048
"21"	"1240"	"100"	"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC"	"Dairy and Egg Products"	"208"	354	"kcal"	"Energy"	1	1	"unit"	96	3.54	339.84
"22"	"1241"	"100"	"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA"	"Dairy and Egg Products"	"203"	4.29	"g"	"Protein"	1	1	"serving"	70	0.0429	3.003
"23"	"1241"	"100"	"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA"	"Dairy and Egg Products"	"205"	39.64	"g"	"Carbohydrate, by difference"	1	1	"serving"	70	0.3964	27.748
"24"	"1241"	"100"	"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA"	"Dairy and Egg Products"	"208"	186	"kcal"	"Energy"	1	1	"serving"	70	1.86	130.2
"25"	"1242"	"100"	"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED"	"Dairy and Egg Products"	"203"	5.71	"g"	"Protein"	1	1	"serving"	70	0.0571	3.997
"26"	"1242"	"100"	"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED"	"Dairy and Egg Products"	"204"	2.86	"g"	"Total lipid (fat)"	1	1	"serving"	70	0.0286	2.002
"27"	"1242"	"100"	"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED"	"Dairy and Egg Products"	"205"	42.86	"g"	"Carbohydrate, by difference"	1	1	"serving"	70	0.4286	30.002
"28"	"1242"	"100"	"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED"	"Dairy and Egg Products"	"208"	200	"kcal"	"Energy"	1	1	"serving"	70	2	140
"29"	"1243"	"100"	"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC"	"Dairy and Egg Products"	"203"	4.41	"g"	"Protein"	1	0.5	"cup"	68	0.0441	2.9988
"30"	"1243"	"100"	"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC"	"Dairy and Egg Products"	"204"	0	"g"	"Total lipid (fat)"	1	0.5	"cup"	68	0	0
"31"	"1243"	"100"	"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC"	"Dairy and Egg Products"	"205"	27.94	"g"	"Carbohydrate, by difference"	1	0.5	"cup"	68	0.2794	18.9992
"32"	"1244"	"100"	"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"	"Dairy and Egg Products"	"203"	4.41	"g"	"Protein"	1	1	"bar"	68	0.0441	2.9988
"33"	"1244"	"100"	"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"	"Dairy and Egg Products"	"204"	1.47	"g"	"Total lipid (fat)"	1	1	"bar"	68	0.0147	0.9996
"34"	"1244"	"100"	"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"	"Dairy and Egg Products"	"205"	33.09	"g"	"Carbohydrate, by difference"	1	1	"bar"	68	0.3309	22.5012
"35"	"1244"	"100"	"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK"	"Dairy and Egg Products"	"208"	147	"kcal"	"Energy"	1	1	"bar"	68	1.47	99.96
"36"	"1250"	"100"	"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ"	"Dairy and Egg Products"	"203"	4.4	"g"	"Protein"	1	1	"can"	227	0.044	9.988
"37"	"1250"	"100"	"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ"	"Dairy and Egg Products"	"204"	3.08	"g"	"Total lipid (fat)"	1	1	"can"	227	0.0308	6.9916
"38"	"1250"	"100"	"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ"	"Dairy and Egg Products"	"205"	11.88	"g"	"Carbohydrate, by difference"	1	1	"can"	227	0.1188	26.9676
"39"	"1250"	"100"	"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ"	"Dairy and Egg Products"	"208"	88	"kcal"	"Energy"	1	1	"can"	227	0.88	199.76
"40"	"2073"	"200"	"PACE,DRY TACO SEAS MIX"	"Spices and Herbs"	"203"	0	"g"	"Protein"	1	2	"tbsp (1 serving)"	5.3	0	0
"41"	"2073"	"200"	"PACE,DRY TACO SEAS MIX"	"Spices and Herbs"	"204"	0	"g"	"Total lipid (fat)"	1	2	"tbsp (1 serving)"	5.3	0	0
"42"	"2073"	"200"	"PACE,DRY TACO SEAS MIX"	"Spices and Herbs"	"205"	56.29	"g"	"Carbohydrate, by difference"	1	2	"tbsp (1 serving)"	5.3	0.5629	2.98337
"43"	"2073"	"200"	"PACE,DRY TACO SEAS MIX"	"Spices and Herbs"	"208"	188	"kcal"	"Energy"	1	2	"tbsp (1 serving)"	5.3	1.88	9.964
"44"	"4655"	"400"	"MARGARINE-LIKE SHORTENING,INDUS,SOY(PART  HYDR),CTTNSD,& SOY"	"Fats and Oils"	"204"	71	"g"	"Total lipid (fat)"	1	1	"tbsp"	14	0.71	9.94
"45"	"4665"	"400"	"MARGARINE,INDUS,NON-DAIRY,CTTNSD,SOY OIL (PART HYDR )"	"Fats and Oils"	"204"	80.2	"g"	"Total lipid (fat)"	1	1	"tbsp"	14	0.802	11.228
"46"	"4668"	"400"	"MARGARINE,INDUS,SOY & PART HYDR SOY OIL,BAKING,SAUCES,CANDY"	"Fats and Oils"	"204"	80	"g"	"Total lipid (fat)"	1	1	"tbsp"	14	0.8	11.2
"47"	"4678"	"400"	"OIL,VEG,NATREON CANOLA,HI STABILITY,NON TRANS,HI OLEIC (70%)"	"Fats and Oils"	"204"	100	"g"	"Total lipid (fat)"	1	1	"tbsp"	14	1	14
"48"	"4679"	"400"	"OIL,PAM COOKING SPRAY,ORIGINAL"	"Fats and Oils"	"203"	0.26	"g"	"Protein"	1	1	"spray , about 1/3 second (1 NLEA serving)"	0.3	0.0026	0.00078
"49"	"4679"	"400"	"OIL,PAM COOKING SPRAY,ORIGINAL"	"Fats and Oils"	"205"	20.69	"g"	"Carbohydrate, by difference"	1	1	"spray , about 1/3 second (1 NLEA serving)"	0.3	0.2069	0.06207
"50"	"4679"	"400"	"OIL,PAM COOKING SPRAY,ORIGINAL"	"Fats and Oils"	"208"	792	"kcal"	"Energy"	1	1	"spray , about 1/3 second (1 NLEA serving)"	0.3	7.92	2.376
"51"	"4685"	"400"	"OIL,COOKING & SALAD,ENOVA,80% DIGLYCERIDES"	"Fats and Oils"	"204"	100	"g"	"Total lipid (fat)"	2	1	"cup"	214	1	214
"52"	"4707"	"400"	"OIL,FLAXSEED,CONTAINS ADDED SLICED FLAXSEED"	"Fats and Oils"	"203"	0.37	"g"	"Protein"	2	1	"cup"	219	0.0037	0.8103
"53"	"4707"	"400"	"OIL,FLAXSEED,CONTAINS ADDED SLICED FLAXSEED"	"Fats and Oils"	"204"	99.01	"g"	"Total lipid (fat)"	2	1	"cup"	219	0.9901	216.8319
"54"	"5354"	"500"	"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD"	"Poultry Products"	"203"	16.8	"g"	"Protein"	2	1	"cup"	183	0.168	30.744
"55"	"5354"	"500"	"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD"	"Poultry Products"	"204"	7.58	"g"	"Total lipid (fat)"	2	1	"cup"	183	0.0758	13.8714
"56"	"5621"	"500"	"EMU,GROUND,RAW"	"Poultry Products"	"203"	22.77	"g"	"Protein"	1	1	"patty"	117	0.2277	26.6409
"57"	"5621"	"500"	"EMU,GROUND,RAW"	"Poultry Products"	"204"	4.03	"g"	"Total lipid (fat)"	1	1	"patty"	117	0.0403	4.7151
"58"	"5622"	"500"	"EMU,GROUND,CKD,PAN-BROILED"	"Poultry Products"	"203"	28.43	"g"	"Protein"	1	1	"patty (yield from 135.8 g raw meat)"	109	0.2843	30.9887
"59"	"5622"	"500"	"EMU,GROUND,CKD,PAN-BROILED"	"Poultry Products"	"204"	4.65	"g"	"Total lipid (fat)"	1	1	"patty (yield from 135.8 g raw meat)"	109	0.0465	5.0685
"60"	"5624"	"500"	"EMU,FAN FILLET,CKD,BRLD"	"Poultry Products"	"203"	31.27	"g"	"Protein"	2	1	"steak"	394	0.3127	123.2038
"61"	"5624"	"500"	"EMU,FAN FILLET,CKD,BRLD"	"Poultry Products"	"204"	2.3	"g"	"Total lipid (fat)"	2	1	"steak"	394	0.023	9.062
"62"	"5632"	"500"	"EMU,TOP LOIN,CKD,BRLD"	"Poultry Products"	"203"	29.07	"g"	"Protein"	2	1	"steak"	244	0.2907	70.9308
"63"	"5632"	"500"	"EMU,TOP LOIN,CKD,BRLD"	"Poultry Products"	"204"	3.13	"g"	"Total lipid (fat)"	2	1	"steak"	244	0.0313	7.6372
"64"	"5641"	"500"	"OSTRICH,GROUND,RAW"	"Poultry Products"	"203"	20.22	"g"	"Protein"	1	1	"patty"	109	0.2022	22.0398
"65"	"5641"	"500"	"OSTRICH,GROUND,RAW"	"Poultry Products"	"203"	20.22	"g"	"Protein"	2	4	"patty"	435	0.2022	87.957
"66"	"5641"	"500"	"OSTRICH,GROUND,RAW"	"Poultry Products"	"204"	8.7	"g"	"Total lipid (fat)"	1	1	"patty"	109	0.087	9.483
"67"	"5641"	"500"	"OSTRICH,GROUND,RAW"	"Poultry Products"	"204"	8.7	"g"	"Total lipid (fat)"	2	4	"patty"	435	0.087	37.845
"68"	"5642"	"500"	"OSTRICH,GROUND,CKD,PAN-BROILED"	"Poultry Products"	"203"	26.15	"g"	"Protein"	1	1	"patty"	93	0.2615	24.3195
"69"	"5642"	"500"	"OSTRICH,GROUND,CKD,PAN-BROILED"	"Poultry Products"	"204"	7.07	"g"	"Total lipid (fat)"	1	1	"patty"	93	0.0707	6.5751
"70"	"5717"	"500"	"TURKEY,RTL PARTS,THIGH,MEAT ONLY,RAW"	"Poultry Products"	"203"	20.6	"g"	"Protein"	1	3	"oz"	85	0.206	17.51
"71"	"5717"	"500"	"TURKEY,RTL PARTS,THIGH,MEAT ONLY,RAW"	"Poultry Products"	"204"	3.69	"g"	"Total lipid (fat)"	1	3	"oz"	85	0.0369	3.1365
"72"	"5722"	"500"	"TURKEY,RTL PARTS,THIGH,MEAT ONLY,CKD,RSTD"	"Poultry Products"	"203"	25.14	"g"	"Protein"	1	3	"oz"	85	0.2514	21.369
"73"	"5722"	"500"	"TURKEY,RTL PARTS,THIGH,MEAT ONLY,CKD,RSTD"	"Poultry Products"	"204"	6.25	"g"	"Total lipid (fat)"	1	3	"oz"	85	0.0625	5.3125
"74"	"6003"	"600"	"CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	2.38	"g"	"Protein"	1	1	"serving 1/2 cup"	126	0.0238	2.9988
"75"	"6003"	"600"	"CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	1.59	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	126	0.0159	2.0034
"76"	"6003"	"600"	"CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	4.76	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	126	0.0476	5.9976
"77"	"6003"	"600"	"CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	40	"kcal"	"Energy"	1	1	"serving 1/2 cup"	126	0.4	50.4
"78"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	1.61	"g"	"Protein"	1	1	"serving 1/2 cup"	124	0.0161	1.9964
"79"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	3.63	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	124	0.0363	4.5012
"80"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	9.68	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	124	0.0968	12.0032
"81"	"6014"	"600"	"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	81	"kcal"	"Energy"	1	1	"serving 1/2 cup"	124	0.81	100.44
"82"	"6029"	"600"	"HEALTHY REQUEST,CHICK W/ RICE,COND"	"Soups, Sauces, and Gravies"	"203"	1.59	"g"	"Protein"	1	0.5	"cup"	126	0.0159	2.0034
"83"	"6029"	"600"	"HEALTHY REQUEST,CHICK W/ RICE,COND"	"Soups, Sauces, and Gravies"	"204"	1.19	"g"	"Total lipid (fat)"	1	0.5	"cup"	126	0.0119	1.4994
